item_name,item_description,item_category,item_price,item_stock_qty,in_stock,seller_id
Mechanical Keyboard,Rainbow RGB mechanical gaming keyboard,Electronics,3499,12,TRUE,1
Wireless Mouse,Ergonomic wireless mouse with silent clicks,Electronics,1299,25,TRUE,7
Gaming Monitor,27 inch 165Hz gaming monitor,Electronics,18999,4,TRUE,4
Notebook Pack,Premium ruled notebook set of 5,Stationery,499,40,TRUE,2
Sketch Pens,24 color artist sketch pen set,Stationery,299,18,TRUE,9
Desk Organizer,Wooden multi-slot desk organizer,Stationery,799,0,FALSE,2
Oversized Hoodie,Heavy cotton oversized hoodie,Clothing,1499,14,TRUE,3
Cargo Pants,Streetwear multi-pocket cargo pants,Clothing,1799,7,TRUE,3
Graphic T-Shirt,Anime print cotton t-shirt,Clothing,899,0,FALSE,3
Gaming Chair,Adjustable ergonomic gaming chair,Furniture,8999,6,TRUE,8
Controller Stand,RGB dual controller stand,Accessories,699,15,TRUE,7
Console Cooling Fan,External cooling fan for gaming console,Accessories,1199,0,FALSE,4
Organic Apples,Fresh organic red apples,Fruits,249,30,TRUE,5
Almond Milk,Unsweetened almond milk beverage,Beverages,199,20,TRUE,6
Brown Bread,Whole wheat healthy bread,Bakery,55,0,FALSE,6
Smartphone X12,128GB 5G smartphone,Electronics,25999,9,TRUE,1
Fast Charger,65W USB-C fast charger,Accessories,1499,22,TRUE,7
Tempered Glass,9H protective tempered glass,Accessories,199,0,FALSE,7
Cold Coffee,Chilled creamy cold coffee,Beverages,180,16,TRUE,6
Cheese Croissant,Butter croissant with cheese filling,Bakery,120,0,FALSE,6
